page,position_page,brand,model,year,price,mileage,gearbox,region,listing_url
5,4,Renault,19,1989.0,2300000,180000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1861
5,5,Kia,Sorento,2009.0,3800000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-sorento-dakar-dakar-2807
5,6,Peugeot,407,2007.0,2800000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-569
5,7,Nissan,Murano,2008.0,3200000,115305.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-855
5,8,Peugeot,406,2003.0,2600000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1152
5,9,Peugeot,605,2004.0,2200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-605-dakar-dakar-2622
5,10,Mitsubishi,L200,2012.0,11900000,116000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-291
5,11,Toyota,Prado,2000.0,4000000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-prado-dakar-dakar-2902
5,12,Citroen,C5,2005.0,2100000,334000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4380
5,13,Peugeot,307,2007.0,2000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-862
5,14,Renault,19,2000.0,2000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2615
5,15,Skoda,Octavia,2008.0,1900000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-1928
5,16,Peugeot,307,2004.0,2700000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3584
5,17,Hyundai,Elantra,2013.0,6500000,66000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-elantra-dakar-dakar-1235
5,18,Peugeot,807,2007.0,2800000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-807-dakar-dakar-1879
5,19,Peugeot,405,2002.0,2200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-405-dakar-dakar-2514
5,20,Peugeot,308,2007.0,2800000,230000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-4198
6,1,Citroen,C3,2008.0,2100000,110000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-4136
6,2,Renault,Logan,2007.0,2900000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-logan-dakar-dakar-2773
6,3,Renault,19,2000.0,1800000,180000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1890
6,4,Toyota,RAV4,2008.0,2900000,130000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-4163
6,5,Peugeot,307,2007.0,2500000,120000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-4364
